time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1722443702        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443712        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443723        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443733        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443744        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443754        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443765        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443775        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443785        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443796        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443806        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443817        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443827        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443837        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443848        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443858        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443868        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443879        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443889        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443900        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443910        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443921        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443931        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443942        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443952        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443962        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443972        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443983        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443994        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444004        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444015        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444025        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444036        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444046        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444057        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444067        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444077        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444088        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444098        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444109        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444119        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444130        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444140        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444151        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444161        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444171        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444182        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444192        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444203        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444213        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444223        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444234        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444244        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444255        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444265        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444275        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444286        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444297        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444307        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444317        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444327        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444338        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444348        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444358        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444369        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444379        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444390        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444400        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444411        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444421        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444432        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444442        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444452        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444463        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444473        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444483        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444494        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444504        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444515        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444525        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444536        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444547        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444557        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444569        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444579        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444589        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444600        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444610        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444621        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444631        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444641        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444652        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444662        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444672        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444683        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444693        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444704        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444714        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444724        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
